Expt,Well,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,SB,An,Cell.line,Plate,ABT,PLX
X20131015,B04,D,44,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,D,58,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,D,63,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,D,68,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,D,68,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,D,78,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,D,80,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,D,84,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,D,87,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,D,112,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,D,121,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,E,17,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,E,22,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,E,28,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,E,27,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,E,32,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,E,36,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,E,28,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,E,47,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,E,63,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,E,77,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,E,79,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,F,44,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,F,54,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,F,55,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,F,51,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,F,56,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,F,66,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,F,77,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,F,87,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,F,92,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,F,95,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,F,105,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,G,50,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,G,58,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,G,54,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,G,52,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,G,61,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,G,64,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,G,66,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,G,62,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,G,67,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,G,72,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,G,67,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,H,37,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,H,40,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,H,43,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,H,45,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,H,47,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,H,48,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,H,51,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,H,51,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,H,59,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,H,64,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,H,61,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,I,26,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,I,32,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,I,38,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,I,38,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,I,35,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,I,42,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,I,45,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,I,51,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,I,56,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,I,55,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,I,58,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,J,70,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,J,85,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,J,91,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,J,90,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,J,102,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,J,110,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,J,104,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,J,110,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,J,108,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,J,113,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,J,111,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,K,34,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,K,48,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,K,51,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,K,58,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,K,69,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,K,68,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,K,74,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,K,77,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,K,82,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,K,98,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,K,98,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,L,39,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,L,45,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,L,49,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,L,50,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,L,57,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,L,63,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,L,62,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,L,66,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,L,68,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,L,74,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,L,68,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,M,25,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,M,34,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,M,41,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,M,50,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,M,50,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,M,53,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,M,54,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,M,69,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,M,69,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,M,91,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,M,91,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,N,23,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,N,34,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,N,31,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,N,40,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,N,36,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,N,44,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,N,46,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,N,47,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,N,48,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,N,59,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,N,66,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,O,43,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,O,56,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,O,51,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,O,55,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,O,60,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,O,48,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,O,53,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,O,61,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,O,65,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,O,66,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,O,76,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,P,38,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,P,52,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,P,51,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,P,51,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,P,46,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,P,53,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,P,59,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,P,62,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,P,62,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,P,67,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,P,71,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,Q,31,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,Q,42,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,Q,49,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,Q,45,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,Q,52,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,Q,52,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,Q,61,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,Q,60,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,Q,55,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,Q,56,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B04,Q,57,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,A,22,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,A,26,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,A,32,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,A,33,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,A,36,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,A,38,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,A,45,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,A,51,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,A,57,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,A,60,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,A,65,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,B,38,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,B,46,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,B,49,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,B,49,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,B,49,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,B,49,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,B,63,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,B,65,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,B,59,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,B,67,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,B,70,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,C,41,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,C,53,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,C,70,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,C,68,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,C,77,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,C,74,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,C,83,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,C,90,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,C,98,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,C,112,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,C,117,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,D,27,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,D,29,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,D,34,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,D,31,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,D,33,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,D,34,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,D,36,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,D,37,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,D,37,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,D,39,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,D,40,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,E,22,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,E,30,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,E,31,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,E,32,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,E,32,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,E,37,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,E,40,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,E,38,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,E,42,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,E,43,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,E,40,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,F,52,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,F,65,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,F,69,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,F,64,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,F,67,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,F,68,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,F,63,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,F,70,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,F,73,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,F,69,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,F,78,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,G,48,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,G,64,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,G,76,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,G,85,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,G,87,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,G,89,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,G,95,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,G,106,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,G,113,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,G,133,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,G,152,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,H,30,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,H,35,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,H,45,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,H,48,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,H,46,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,H,43,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,H,40,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,H,36,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,H,34,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,H,30,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,H,27,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,I,40,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,I,50,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,I,47,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,I,47,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,I,53,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,I,54,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,I,55,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,I,66,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,I,58,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,I,62,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,I,61,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,J,16,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,J,16,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,J,18,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,J,16,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,J,16,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,J,17,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,J,17,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,J,15,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,J,15,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,J,15,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,J,14,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,K,16,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,K,25,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,K,23,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,K,23,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,K,20,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,K,21,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,K,22,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,K,21,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,K,21,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,K,21,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,K,22,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,L,24,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,L,31,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,L,26,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,L,30,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,L,40,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,L,43,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,L,45,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,L,47,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,L,46,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,L,46,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,L,52,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,M,68,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,M,80,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,M,90,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,M,100,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,M,97,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,M,100,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,M,83,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,M,92,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,M,92,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,M,98,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,M,106,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,N,20,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,N,23,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,N,25,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,N,31,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,N,35,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,N,34,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,N,36,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,N,36,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,N,37,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,N,43,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,N,52,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,O,25,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,O,29,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,O,35,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,O,32,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,O,41,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,O,49,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,O,53,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,O,61,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,O,71,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,O,76,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,O,79,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,P,45,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,P,53,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,P,55,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,P,59,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,P,53,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,P,53,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,P,47,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,P,52,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,P,46,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,P,51,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,P,59,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,Q,60,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,Q,54,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,Q,82,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,Q,90,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,Q,92,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,Q,94,5,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,Q,108,6,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,Q,120,7,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,Q,153,8,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,Q,194,9,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,Q,233,10,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,R,22,0,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,R,27,1,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,R,30,2,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,R,35,3,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,R,37,4,0,500,0,0,0,0,0,PC9.par,1,0,0
X20131015,B05,R,38,5,0,500,0,0,0,0,0,PC9.par,1,0,0
